Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1740863777.6224384,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.641174,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.6595125,284.0,3388.0,-17724.0,10583.0,-2928.0,12926.0
1740863777.6774614,828.0,3908.0,-18288.0,12154.0,-4776.0,9645.0
1740863777.6956668,540.0,-6592.0,-3688.0,29769.0,2441.0,7736.0
1740863777.7142842,-680.0,-6844.0,-2460.0,27057.0,1796.0,5737.0
1740863777.7317703,-1144.0,-7504.0,-1496.0,23764.0,566.0,1757.0
1740863777.7502704,-1292.0,-9684.0,-2352.0,22485.0,-1845.0,-3487.0
1740863777.7673552,-888.0,-10988.0,-2100.0,24513.0,-6395.0,-8935.0
1740863777.7856886,360.0,-10632.0,-256.0,27021.0,-11299.0,-14650.0
1740863777.8043284,2192.0,-10416.0,1612.0,28437.0,-17990.0,-19240.0
1740863777.8229089,4540.0,-9372.0,4860.0,27334.0,-19017.0,-21486.0
1740863777.8414228,5188.0,-9360.0,7080.0,23132.0,-14759.0,-23579.0
1740863777.8596222,5820.0,-8028.0,7528.0,17234.0,-15121.0,-26226.0
1740863777.8787346,8412.0,-8172.0,7388.0,10243.0,-16545.0,-29511.0
1740863777.8959615,12404.0,-7940.0,5820.0,3071.0,-22560.0,-31195.0
1740863777.9144123,16892.0,-8768.0,2748.0,-2019.0,-26037.0,-28346.0
1740863777.9322507,18100.0,-10204.0,-32.0,-2830.0,-21997.0,-22670.0
1740863777.9517615,17896.0,-11548.0,-1652.0,-1818.0,-15793.0,-16830.0
1740863777.9694598,17044.0,-11420.0,-2304.0,-98.0,-8791.0,-11412.0
1740863777.9884925,16500.0,-11184.0,-1452.0,1226.0,-3498.0,-5683.0
1740863778.0056977,14160.0,-10796.0,452.0,1991.0,5631.0,495.0
1740863778.0241973,9492.0,-9012.0,2328.0,540.0,12630.0,2860.0
1740863778.041621,6296.0,-8748.0,2720.0,-933.0,19199.0,740.0
1740863778.060586,4900.0,-9276.0,3308.0,-1090.0,15598.0,-3789.0
1740863778.0779366,5044.0,-8448.0,5076.0,-2637.0,11966.0,-7675.0
1740863778.0960557,5300.0,-7404.0,5876.0,-5125.0,7499.0,-9756.0
1740863778.1139612,3972.0,-5816.0,5808.0,-7725.0,9766.0,-11538.0
1740863778.1319098,2204.0,-4496.0,4744.0,-9701.0,11713.0,-15294.0
1740863778.1512637,2508.0,-3016.0,3488.0,-11181.0,12196.0,-20915.0
1740863778.1695402,4236.0,-1076.0,3192.0,-10830.0,7913.0,-25560.0
1740863778.188438,6576.0,2156.0,4124.0,-11737.0,7214.0,-28222.0
1740863778.205742,5880.0,4484.0,2556.0,-13621.0,8594.0,-32354.0
1740863778.224113,5228.0,6456.0,-704.0,-13725.0,426.0,-32768.0
1740863778.2422552,8692.0,9836.0,-1736.0,-11883.0,-15615.0,-32768.0
1740863778.2603154,16344.0,14124.0,-1492.0,-13210.0,-31741.0,-32768.0
1740863778.279243,22028.0,16004.0,-1588.0,-16437.0,-32768.0,-32768.0
1740863778.2978501,21984.0,16348.0,-1952.0,-18873.0,-30870.0,-32768.0
1740863778.3164,20028.0,17384.0,-1464.0,-19908.0,-23950.0,-32768.0
1740863778.3338876,18788.0,20804.0,-936.0,-21945.0,-17275.0,-32768.0
1740863778.3513708,21188.0,23048.0,-980.0,-25760.0,-18297.0,-32768.0
1740863778.3690016,23568.0,24608.0,-2156.0,-29018.0,-3033.0,-32542.0
1740863778.3867536,27736.0,23080.0,-2288.0,-32491.0,-23469.0,-22680.0
1740863778.4047594,23704.0,21840.0,-6240.0,-32768.0,-14006.0,-9889.0
1740863778.423125,22412.0,22060.0,-5448.0,-32768.0,-11472.0,2532.0
1740863778.4418905,16400.0,24068.0,-5508.0,-32768.0,-7240.0,10124.0
1740863778.461039,12200.0,25684.0,-6464.0,-32768.0,-7757.0,12680.0
1740863778.4795163,9432.0,26264.0,-7340.0,-32768.0,-3338.0,10967.0
1740863778.4969518,8684.0,24996.0,-9808.0,-32768.0,-8166.0,7240.0
1740863778.5149238,9464.0,22544.0,-12204.0,-30780.0,-15260.0,3557.0
1740863778.5333257,10212.0,20276.0,-14672.0,-23264.0,-24567.0,2573.0
1740863778.5518732,9360.0,18296.0,-13776.0,-13751.0,-30448.0,4041.0
1740863778.5707242,6020.0,18444.0,-12216.0,-5536.0,-28453.0,3933.0
1740863778.5890062,3820.0,19072.0,-12280.0,418.0,-27839.0,633.0
1740863778.6079054,4336.0,19144.0,-12444.0,5568.0,-26533.0,-3715.0
