Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1739652294.5050616,9252,-15608,-19268,-4205,11573,5451
1739652294.5060616,9388,-15200,-19848,-2621,10888,5516
1739652294.5060616,9504,-15060,-20092,-980,10270,5561
1739652294.5070615,10124,-15136,-20292,863,9684,5608
1739652294.5080664,10336,-15168,-20120,2992,9402,5458
1739652294.5090885,10148,-15196,-19744,5161,8653,5200
1739652294.5090885,12920,-30780,2476,16539,-32768,6038
1739652294.5100617,12720,-31496,2464,15420,-32768,6696
1739652294.511066,12676,-32228,2284,14276,-32768,7394
1739652294.5120616,12260,-32664,2240,13525,-32768,8125
1739652294.5130632,11560,-32768,2508,12959,-32768,8740
1739652294.5140631,10820,-32768,2724,12668,-32768,9383
1739652294.5512602,10480,-32768,2780,12414,-32768,9945
1739652294.5512602,9976,-32764,2564,12297,-32768,10528
1739652294.5521576,9632,-32696,1724,12488,-32768,11113
1739652294.553224,9364,-32660,1304,13152,-32768,11614
1739652294.553224,9008,-32428,348,14215,-32768,12048
1739652294.5545554,8868,-32240,-140,15650,-32768,12384
1739652294.5555875,8528,-31920,248,17244,-32768,12599
1739652294.5565598,8372,-31412,852,18737,-32768,12809
1739652294.5565598,8196,-31108,1196,19988,-32768,12849
1739652294.557883,8144,-30460,1064,21115,-32768,12872
1739652294.5588906,8148,-30360,900,22179,-32768,12955
1739652294.5588906,8368,-30296,668,23219,-32768,13217
1739652294.5599172,8528,-30120,632,24067,-32768,13460
1739652294.5608983,8408,-29740,992,24727,-32768,13768
1739652294.6111748,8232,-29712,1664,24953,-32768,14141
1739652294.6111748,8144,-29640,2512,24783,-32768,14494
1739652294.6121366,7920,-29316,3524,24181,-32768,14744
1739652294.613136,7796,-29660,4532,23052,-32768,15141
1739652294.6141453,8128,-29912,4892,21667,-32768,15626
1739652294.6141453,8108,-30376,5480,20077,-32768,16195
1739652294.616222,8232,-30940,6080,18363,-32768,16865
1739652294.616222,8332,-31920,6996,16487,-32768,17741
1739652294.6172206,8212,-32548,7724,14412,-32768,18745
1739652294.6172206,8220,-32768,8500,12299,-32768,19806
1739652294.6181347,8200,-32768,9276,10151,-32768,20890
1739652294.619134,8280,-32768,9720,8021,-32768,22034
1739652294.6201556,8192,-32768,9648,5895,-32768,23213
1739652294.621152,8008,-32768,9564,4080,-32768,24338
1739652294.621152,7880,-32768,9428,2553,-32768,25381
1739652294.6231358,7940,-32768,9040,1371,-32768,26378
1739652294.6231358,8116,-32768,8348,696,-32768,27397
1739652294.6243196,8068,-32768,7968,472,-32768,28356
1739652294.6253257,8328,-32768,7656,697,-32768,29163
1739652294.6253257,8360,-32768,7580,1280,-32768,29886
1739652294.6264987,8252,-32768,7200,2234,-32768,30450
1739652294.6275036,8160,-32768,7444,3327,-32768,30896
1739652294.6285038,8260,-32768,7720,4523,-32768,31207
1739652294.6285038,8480,-32768,7728,5843,-32768,31479
1739652294.6711621,8732,-32768,7744,7363,-32768,31802
1739652294.6711621,8984,-32768,7624,9007,-32768,32028
1739652294.6721618,9072,-32768,7544,10782,-32768,32228
1739652294.6731613,9408,-32356,7972,12487,-32768,32384
1739652294.6731613,9452,-31704,8556,13940,-32768,32433
1739652294.6744857,9532,-31364,9104,15665,-32768,32465
1739652294.6755862,10008,-30424,9980,17029,-32768,32564
1739652294.6755862,10440,-29512,11212,18115,-32768,32590
1739652294.6767888,11056,-28772,12660,18779,-32768,32767
1739652294.6780183,11328,-28096,14712,18995,-32768,32767
1739652294.6780183,11536,-27480,16764,18739,-32768,32767
1739652294.6790235,11528,-26820,19320,18038,-32768,32767
1739652294.6804905,11868,-26220,21576,16902,-32768,32767
1739652294.7302766,12288,-25784,23712,15420,-32768,32767
1739652294.7315164,12516,-25448,25548,13524,-32768,32767
1739652294.7325706,12868,-25404,27208,11505,-32768,32767
1739652294.7325706,13172,-24988,29176,9387,-32768,32767
1739652294.733525,13556,-25096,30572,6966,-32768,32767
1739652294.734522,12964,-24956,31868,4594,-32734,32767
